category,title,author,in_library,amazon_search_url,amazon_url_TO_FILL
Borderline & emotional intensity,Stop Walking on Eggshells,Paul Mason & Randi Kreger,yes,https://www.amazon.com/s?k=Stop+Walking+on+Eggshells+Paul+Mason+%26+Randi+Kreger+book,https://www.amazon.com/dp/1684036895
Borderline & emotional intensity,I Hate You,Jerold Kreisman & Hal Straus,no,https://www.amazon.com/s?k=I+Hate+You+Jerold+Kreisman+%26+Hal+Straus+book,https://www.amazon.com/dp/0593418492
Borderline & emotional intensity,The Buddha and the Borderline,Kiera Van Gelder,yes,https://www.amazon.com/s?k=The+Buddha+and+the+Borderline+Kiera+Van+Gelder+book,https://www.amazon.com/dp/157224710X
Borderline & emotional intensity,Borderline Personality Disorder Demystified,Robert Friedel,yes,https://www.amazon.com/s?k=Borderline+Personality+Disorder+Demystified+Robert+Friedel+book,https://www.amazon.com/dp/0738220248
"Family, codependency & boundaries",Codependent No More,Melody Beattie,yes,https://www.amazon.com/s?k=Codependent+No+More+Melody+Beattie+book,https://www.amazon.com/dp/0894864025
"Family, codependency & boundaries",Adult Children of Emotionally Immature Parents,Lindsay Gibson,yes,https://www.amazon.com/s?k=Adult+Children+of+Emotionally+Immature+Parents+Lindsay+Gibson+book,https://www.amazon.com/dp/1626251703
"Family, codependency & boundaries",Set Boundaries Find Peace,Nedra Glover Tawwab,yes,https://www.amazon.com/s?k=Set+Boundaries+Find+Peace+Nedra+Glover+Tawwab+book,https://www.amazon.com/dp/0593192095
Communication & difficult conversations,Crucial Conversations,Kerry Patterson et al,yes,https://www.amazon.com/s?k=Crucial+Conversations+Kerry+Patterson+et+al+book,https://www.amazon.com/dp/1260474186
Communication & difficult conversations,Nonviolent Communication,Marshall Rosenberg,yes,https://www.amazon.com/s?k=Nonviolent+Communication+Marshall+Rosenberg+book,https://www.amazon.com/dp/189200528X
Attachment & relationships,Hold Me Tight,Sue Johnson,yes,https://www.amazon.com/s?k=Hold+Me+Tight+Sue+Johnson+book,https://www.amazon.com/dp/031611300X
Attachment & relationships,Attached,Amir Levine & Rachel Heller,yes,https://www.amazon.com/s?k=Attached+Amir+Levine+%26+Rachel+Heller+book,https://www.amazon.com/dp/1585429139
Attachment & relationships,Wired for Love,Stan Tatkin,no,https://www.amazon.com/s?k=Wired+for+Love+Stan+Tatkin+book,https://www.amazon.com/dp/1608820580
Trauma & PTSD,The Body Keeps the Score,Bessel van der Kolk,yes,https://www.amazon.com/s?k=The+Body+Keeps+the+Score+Bessel+van+der+Kolk+book,https://www.amazon.com/dp/0143127748
Trauma & PTSD,The Pain We Carry: Healing from Complex PTSD for People of Color,Natalie Y. Gutiérrez,yes,https://www.amazon.com/s?k=The+Pain+We+Carry%3A+Healing+from+Complex+PTSD+for+People+of+Color+Natalie+Y.+Guti%C3%A9rrez+book,https://www.amazon.com/dp/1684039312
Trauma & PTSD,8 Keys to Safe Trauma Recovery,Babette Rothschild,yes,https://www.amazon.com/s?k=8+Keys+to+Safe+Trauma+Recovery+Babette+Rothschild+book,https://www.amazon.com/dp/0393706052
Trauma & PTSD,What Happened to You?,Bruce Perry & Oprah Winfrey,yes,https://www.amazon.com/s?k=What+Happened+to+You%3F+Bruce+Perry+%26+Oprah+Winfrey+book,https://www.amazon.com/dp/1250223180
Addiction (incl. Gabor Maté),In the Realm of Hungry Ghosts,Gabor Maté,yes,https://www.amazon.com/s?k=In+the+Realm+of+Hungry+Ghosts+Gabor+Mat%C3%A9+book,https://www.amazon.com/dp/155643880X
Addiction (incl. Gabor Maté),When the Body Says No,Gabor Maté,no,https://www.amazon.com/s?k=When+the+Body+Says+No+Gabor+Mat%C3%A9+book,https://www.amazon.com/dp/0470923350
Addiction (incl. Gabor Maté),Beyond Addiction,Jeffrey Foote et al,yes,https://www.amazon.com/s?k=Beyond+Addiction+Jeffrey+Foote+et+al+book,https://www.amazon.com/dp/1476709475
Addiction (incl. Gabor Maté),This Naked Mind,Annie Grace,yes,https://www.amazon.com/s?k=This+Naked+Mind+Annie+Grace+book,https://www.amazon.com/dp/0525537236
Addiction (incl. Gabor Maté),Addict in the Family,Beverly Conyers,yes,https://www.amazon.com/s?k=Addict+in+the+Family+Beverly+Conyers+book,https://www.amazon.com/dp/1616499559
"Mood, bipolar & depression",An Unquiet Mind,Kay Redfield Jamison,yes,https://www.amazon.com/s?k=An+Unquiet+Mind+Kay+Redfield+Jamison+book,https://www.amazon.com/dp/0679763309
"Mood, bipolar & depression",Loving Someone with Bipolar Disorder,Julie Fast & John Preston,yes,https://www.amazon.com/s?k=Loving+Someone+with+Bipolar+Disorder+Julie+Fast+%26+John+Preston+book,https://www.amazon.com/dp/1608822192
"Mood, bipolar & depression",Feeling Good,David Burns,yes,https://www.amazon.com/s?k=Feeling+Good+David+Burns+book,https://www.amazon.com/dp/0380810336
"Mood, bipolar & depression",Reasons to Stay Alive,Matt Haig,yes,https://www.amazon.com/s?k=Reasons+to+Stay+Alive+Matt+Haig+book,https://www.amazon.com/dp/0143128728
"Mood, bipolar & depression",Noonday Demon,Andrew Solomon,no,https://www.amazon.com/s?k=Noonday+Demon+Andrew+Solomon+book,https://www.amazon.com/dp/1501123882
Psychosis & serious mental illness,I Am Not Sick I Don't Need Help!,Xavier Amador,yes,https://www.amazon.com/s?k=I+Am+Not+Sick+I+Don%27t+Need+Help%21+Xavier+Amador+book,https://www.amazon.com/dp/0985206705
