episode_number,title,full_title,category,youtube_channel_search_url,youtube_url_TO_FILL
1,The Basics of the Psychiatric Interview,Episode 001: The Basics of the Psychiatric Interview,Foundations & the psychiatric interview,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+001%3A+The+Basics+of+the+Psychiatric+Interview,https://www.youtube.com/watch?v=-9SekuYZ1_Y
2,Cognitive Distortions and Practicing Truth,Episode 002: Cognitive Distortions and Practicing Truth,Mood & bipolar; suicide,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+002%3A+Cognitive+Distortions+and+Practicing+Truth,https://www.youtube.com/watch?v=-KqHdPspSYo
3,Psychopathy with Michael A. Cummings M.D.,Episode 003: Psychopathy with Michael A. Cummings M.D.,Foundations & the psychiatric interview,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+003%3A+Psychopathy+with+Michael+A.+Cummings+M.D.,https://www.youtube.com/watch?v=rlBZ-jvXClw
4,Inpatient Child and Adolescent Suicidality,Episode 004: Inpatient Child and Adolescent Suicidality,Foundations & the psychiatric interview,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+004%3A+Inpatient+Child+and+Adolescent+Suicidality,https://www.youtube.com/watch?v=AW8SLOXsWXk
5,A Journey Learning Psychotherapy,Episode 005: A Journey Learning Psychotherapy,"Child, adolescent & development",https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+005%3A+A+Journey+Learning+Psychotherapy,https://www.youtube.com/watch?v=orJL8LrK8FA
6,Sensorium Part 1: Total Brain Function Optimization,Episode 006: Sensorium Part 1: Total Brain Function Optimization,Neuroscience & the brain,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+006%3A+Sensorium+Part+1%3A+Total+Brain+Function+Optimization,https://www.youtube.com/watch?v=HKzGWEZLbe0
7,Physicians Receiving Treatment,Episode 007: Physicians Receiving Treatment,Clinician wellbeing & professional growth,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+007%3A+Physicians+Receiving+Treatment,https://www.youtube.com/watch?v=LK3y3Hef84I
8,Schizophrenia with Dr. Cummings,Episode 008: Schizophrenia with Dr. Cummings,Psychosis & schizophrenia,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+008%3A+Schizophrenia+with+Dr.+Cummings,https://www.youtube.com/watch?v=Hoj5M5iDOn0
9,Diet Optimization for Cognitive Function,Episode 009: Diet Optimization for Cognitive Function,Neuroscience & the brain,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+009%3A+Diet+Optimization+for+Cognitive+Function,https://www.youtube.com/watch?v=d-4jH4ftszg
10,Exercise as a Prescription for Depression,Episode 010: Exercise as a Prescription for Depression,Mood & bipolar; suicide,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+010%3A+Exercise+as+a+Prescription+for+Depression,https://www.youtube.com/watch?v=s9yJsv6O3yQ
11,Sensorium Part 4: Medications and Substances,Episode 011: Sensorium Part 4: Medications and Substances,Substance use & addiction,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+011%3A+Sensorium+Part+4%3A+Medications+and+Substances,https://www.youtube.com/watch?v=VwU8bQpofiE
12,Performance Enhancement,Episode 012: Performance Enhancement,"Anxiety, OCD & stress",https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+012%3A+Performance+Enhancement,https://www.youtube.com/watch?v=TMgZrh5KS7E
13,Postpartum Depression,Episode 013: Postpartum Depression,Mood & bipolar; suicide,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+013%3A+Postpartum+Depression,https://www.youtube.com/watch?v=KIeGlbrqfJM
14,Hormonal Contraceptives and Mental Health,Episode 014: Hormonal Contraceptives and Mental Health,Mood & bipolar; suicide,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+014%3A+Hormonal+Contraceptives+and+Mental+Health,https://www.youtube.com/watch?v=Z_MRaEZ-4NI
15,Microexpressions Part 1,Episode 015: Microexpressions Part 1,Foundations & the psychiatric interview,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+015%3A+Microexpressions+Part+1,https://www.youtube.com/watch?v=AkWMEe9pDCA
16,Microexpressions Part 2,Episode 016: Microexpressions Part 2,Foundations & the psychiatric interview,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+016%3A+Microexpressions+Part+2,https://www.youtube.com/watch?v=jFhFcoVTZdI
17,Microexpressions in Psychotherapy Part 3,Episode 017: Microexpressions in Psychotherapy Part 3,Foundations & the psychiatric interview,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+017%3A+Microexpressions+in+Psychotherapy+Part+3,https://www.youtube.com/watch?v=kb_cXrVFjsY
18,Prescribing Strength Training for Depression,Episode 018: Prescribing Strength Training for Depression,Mood & bipolar; suicide,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+018%3A+Prescribing+Strength+Training+for+Depression,https://www.youtube.com/watch?v=NI9_MsKuUxc
19,How Psychiatric Medications Work,Episode 019: How Psychiatric Medications Work,Psychopharmacology,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+019%3A+How+Psychiatric+Medications+Work,https://www.youtube.com/watch?v=if5eQeIMcEw
20,The History and Use of Antipsychotics,Episode 020: The History and Use of Antipsychotics,Psychosis & schizophrenia,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+020%3A+The+History+and+Use+of+Antipsychotics,https://www.youtube.com/watch?v=bpAYy5Yf6ZA
21,How to Fix Emotional Detachment,Episode 021: How to Fix Emotional Detachment,Psychotherapy process — transference & dynamics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+021%3A+How+to+Fix+Emotional+Detachment,https://www.youtube.com/watch?v=4wM_cw7qY5A
22,The Psychology of Procrastination,Episode 022: The Psychology of Procrastination,"Anxiety, OCD & stress",https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+022%3A+The+Psychology+of+Procrastination,https://www.youtube.com/watch?v=UQEyqNDbMf0
23,Emotional Shutdown - Polyvagal Theory,Episode 023: Emotional Shutdown - Polyvagal Theory,Trauma & PTSD,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+023%3A+Emotional+Shutdown+-+Polyvagal+Theory,https://www.youtube.com/watch?v=dVrT_QqqyZs
24,History and Use of Antidepressants,Episode 024: History and Use of Antidepressants,Mood & bipolar; suicide,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+024%3A+History+and+Use+of+Antidepressants,https://www.youtube.com/watch?v=6-t8_RN2vX4
25,The History and Nuances of Bipolar Illness,Episode 025: The History and Nuances of Bipolar Illness,Mood & bipolar; suicide,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+025%3A+The+History+and+Nuances+of+Bipolar+Illness,https://www.youtube.com/watch?v=vBeB6V-KA70
26,Setting Boundaries in Relationships,Episode 026: Setting Boundaries in Relationships,Other & special topics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+026%3A+Setting+Boundaries+in+Relationships,https://www.youtube.com/watch?v=BCf6x9FmZ-Q
27,How to Treat Emotional Trauma,Episode 027: How to Treat Emotional Trauma,Trauma & PTSD,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Episode+027%3A+How+to+Treat+Emotional+Trauma,https://www.youtube.com/watch?v=CRwlo7AP4tc
